survived,title,surname,first name,sex,age,department,position,boarded,lifeboat,body,home
0,Mr.,Mathais,Montague,male,27.0,Deck,Mess Steward,S,,,"Southampton, Hampshire, England"
0,Mr.,Matherson,David,male,30.0,Deck,Able Seaman,S,,192.0,"Southampton, Hampshire, England"
0,Mr.,Maxwell,John,male,31.0,Deck,Carpenter/Joiner,B,,,"Southampton, Hampshire, England"
1,Mr.,McCarthy,William,male,47.0,Deck,Able Seaman,S,4,,"Cork, County Cork, Ireland"
1,Mr.,McGough,James,male,25.0,Deck,Able Seaman,S,9,,"Southampton, Hampshire, England"
1,Mr.,Moore,George,male,32.0,Deck,Able Seaman,S,3,,"Southampton, Hampshire, England"
0,Mr.,Nichols,Alfred,male,42.0,Deck,Boatswain,B,,,"Shirley, Hampshire, England"
0,Dr.,O'Loughlin,William,male,62.0,Deck,Surgeon,B,,,"Southampton, Hampshire, England"
1,Mr.,Olliver,Alfred,male,27.0,Deck,Quartermaster,B,5,,"Southampton, Hampshire, England"
1,Mr.,Osman,Frank,male,28.0,Deck,Able Seaman,S,2,,"Itchen, Hampshire, England"
1,Mr.,Pascoe,Charles,male,43.0,Deck,Able Seaman,S,8,,"Southampton, Hampshire, England"
1,Mr.,Perkis,Walter,male,37.0,Deck,Quartermaster,B,4,,"Southampton, Hampshire, England"
1,Mr.,Peters,William,male,26.0,Deck,Able Seaman,S,9,,"Woolston, Hampshire, England"
1,Mr.,Poingdestre,John,male,33.0,Deck,Able Seaman,S,12,,"Southampton, Hampshire, England"
1,Mr.,Rowe,George,male,32.0,Deck,Quartermaster,B,C,,"Gosport, Hampshire, England"
0,Mr.,Sawyer,Robert,male,30.0,Deck,Window Cleaner,S,,,"Southampton, Hampshire, England"
1,Mr.,Scarrott,Joseph,male,33.0,Deck,Able Seaman,S,14,,"Southampton, Hampshire, England"
0,Dr.,Simpson,John,male,37.0,Deck,Assistant Surgeon,S,,,"Southampton, Hampshire, England"
0,Mr.,Smith,William,male,26.0,Deck,Able Seaman,S,,,"Southampton, Hampshire, England"
1,Mr.,Symons,George,male,24.0,Deck,Lookout,S,1,,"Southampton, Hampshire, England"
0,Mr.,Tamlyn,Frederick,male,23.0,Deck,Mess Steward,S,,123.0,"Southampton, Hampshire, England"
0,Mr.,Taylor,C.,male,35.0,Deck,Able Seaman,S,,,"Southampton, Hampshire, England"
0,Mr.,Terrell,Bertram,male,20.0,Deck,Able Seaman,S,,,"Southampton, Hampshire, England"
1,Mr.,Vigott,Philip,male,32.0,Deck,Able Seaman,S,13,,"Southampton, Hampshire, England"
1,Mr.,Weller,William,male,30.0,Deck,Able Seaman,B,7,,"Southampton, Hampshire, England"
1,Mr.,Wynn,Walter,male,41.0,Deck,Quartermaster,B,9,,"Shirley, Hampshire, England"
0,Mr.,Abrams,William,male,34.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Adams,Robert,male,26.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Allen,Ernest,male,24.0,Engineering,Trimmer,S,B,,"Southampton, Hampshire, England"
0,Mr.,Allen,Henry,male,30.0,Engineering,Fireman/Stoker,S,,145.0,"Southampton, Hampshire, England"
0,Mr.,Allsop,Alfred,male,34.0,Engineering,Electrician,B,,,"Southampton, Hampshire, England"
1,Mr.,Avery,James,male,22.0,Engineering,Trimmer,S,15,,"Southampton, Hampshire, England"
0,Mr.,Bailey,George,male,46.0,Engineering,Fireman/Stoker,S,,,"Woolston, Hampshire, England"
0,Mr.,Baines,Richard,male,24.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Bannon,John,male,32.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Barlow,Charles,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Barnes,Charles,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Barnes,Frederick,male,29.0,Engineering,Fireman/Stoker,S,,,"Woolston, Hampshire, England"
0,Mr.,Barrett,Frederick,male,33.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Barrett,Frederick,male,28.0,Engineering,Leading Fireman,S,13,,"Southampton, Hampshire, England"
0,Mr.,Beattie,Joseph,male,34.0,Engineering,Greaser,B,,,"Southampton, Hampshire, England"
1,Mr.,Beauchamp,George,male,24.0,Engineering,Fireman/Stoker,S,13,,"Southampton, Hampshire, England"
0,Mr.,Bell,Joseph,male,50.0,Engineering,Chief Engineer,B,,,"Southampton, Hampshire, England"
0,Mr.,Bendell,Frank,male,24.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Bennett,George,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Benville,Edward,male,42.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Bessant,William,male,39.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Bevis,Joseph,male,22.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Biddlecombe,Charles,male,33.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Biggs,Edward,male,21.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Billow,James,male,20.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Binstead,Walter,male,19.0,Engineering,Trimmer,S,3,,"Southampton, Hampshire, England"
0,Mr.,Black,Alexander,male,28.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Black,D.,male,41.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Blackman,Albert,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Blake,Percival,male,22.0,Engineering,Trimmer,S,15,,"Southampton, Hampshire, England"
0,Mr.,Blake,Seaton,male,26.0,Engineering,Mess Steward,S,,,"Southampton, Hampshire, England"
0,Mr.,Blake,Thomas,male,36.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Blaney,James,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Blann,Eustace,male,21.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Bott,W.,male,44.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Bradley,Patrick,male,39.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Brewer,Henry,male,30.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Briant,Albert,male,34.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Brooks,J.,male,25.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Brown,John,male,25.0,Engineering,Fireman/Stoker,S,,267.0,"Southampton, Hampshire, England"
0,Mr.,Brown,Joseph,male,25.0,Engineering,Fireman/Stoker,S,,,"Eastleigh, Hampshire, England"
0,Mr.,Burroughs,Arthur,male,35.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Burton,Edward,male,32.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Butt,William,male,30.0,Engineering,Fireman/Stoker,S,,77.0,"Freemantle, Hampshire, England"
0,Mr.,Calderwood,Hugh,male,30.0,Engineering,Trimmer,B,,,"Belfast, Ireland"
0,Mr.,Canner,J.,male,40.0,Engineering,Fireman/Stoker,S,,,"Woolston, Hampshire, England"
0,Mr.,Carr,Richard,male,37.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Carter,James,male,46.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Casey,T.,male,28.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Castleman,Edward,male,37.0,Engineering,Greaser,S,,78.0,"Southampton, Hampshire, England"
1,Mr.,Cavell,George,male,22.0,Engineering,Trimmer,S,15,,"Sholing Hampshire, England"
0,Mr.,Cherrett,William,male,24.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Chisnall,George,male,36.0,Engineering,Boilermaker,B,,111.0,"Itchen, Hampshire, England"
0,Mr.,Chorley,John,male,25.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Clark,William,male,39.0,Engineering,Fireman/Stoker,S,15,,"Southampton, Hampshire, England"
0,Mr.,Coe,Harry,male,21.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Coleman,John,male,57.0,Engineering,Mess Steward,B,,,"Southampton, Hampshire, England"
1,Mr.,Collins,Samuel,male,35.0,Engineering,Fireman/Stoker,S,1,,"Southampton, Hampshire, England"
1,Mr.,Combes,George,male,21.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
0,Mr.,Cooper,Harry,male,26.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Cooper,James,male,25.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Copperthwaite,B.,male,22.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Corcoran,Dennis,male,33.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Cotton,A.,male,26.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Couch,Joseph,male,45.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
1,Mr.,Couper,Robert,male,30.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
0,Mr.,Coy,Francis,male,26.0,Engineering,Junior Assistant 3rd Engineer,S,,,"Southampton, Hampshire, England"
0,Mr.,Crabb,H.,male,23.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Creese,Henry,male,44.0,Engineering,Deck Engineer,B,,,"Southampton, Hampshire, England"
1,Mr.,Crimmins,James,male,21.0,Engineering,Fireman/Stoker,S,13,,"Southampton, Hampshire, England"
0,Mr.,Cross,W.,male,39.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Cunningham,B.,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Curtis,Arthur,male,25.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Davies,Thomas,male,33.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
0,Mr.,Dawson,Joseph[16],male,23.0,Engineering,Trimmer,S,,227.0,"Dublin, Ireland"
1,Mr.,Diaper,John,male,25.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Dickson,W.,male,36.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Dilley,John,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Dillon,Thomas,male,25.0,Engineering,Trimmer,S,4,,"Southampton, Hampshire, England"
0,Mr.,Dodd,Edward,male,38.0,Engineering,Junior 3rd Engineer,B,,,"Southampton, Hampshire, England"
0,Mr.,Dodds,Henry,male,27.0,Engineering,Junior Assistant 4th Engineer,S,,,"Southampton, Hampshire, England"
1,Mr.,Doel,Frederick,male,22.0,Engineering,Fireman/Stoker,S,C,,"Southampton, Hampshire, England"
1,Mr.,Dore,Albert,male,22.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Doyle,Laurence,male,27.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Duffy,William,male,28.0,Engineering,Writer/Engineer's Clerk,B,,,"Southampton, Hampshire, England"
0,Mr.,Dyer,Henry,male,24.0,Engineering,Senior Assistant 4th Engineer,S,,,"Southampton, Hampshire, England"
1,Mr.,Dymond,Frank,male,25.0,Engineering,Fireman/Stoker,S,15,,"Itchen, Hampshire, England"
0,Mr.,Eagle,Alfred,male,22.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Eastman,Charles,male,44.0,Engineering,Greaser,S,,,"Millbrook, Hampshire, England"
0,Mr.,Elliott,Everett,male,23.0,Engineering,Trimmer,S,,,"Edmonton, London, England"
0,Mr.,Ervine,Albert,male,18.0,Engineering,Assistant Electrician,B,,,"Belfast, Ireland"
0,Mr.,Evans,Williams,male,32.0,Engineering,Trimmer,S,,31.0,"Southampton, Hampshire, England"
0,Mr.,Farquharson,William,male,39.0,Engineering,Senior 2nd Engineer,S,,,"Belfast, Ireland,"
0,Mr.,Fay,Thomas,male,30.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Ferrary,Anton,male,33.0,Engineering,Trimmer,S,,308.0,"Southampton, Hampshire, England"
0,Mr.,Ferris,William,male,38.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
1,Mr.,Fitzpatrick,Charles,male,30.0,Engineering,Mess Steward,S,B,,"Southampton, Hampshire, England"
1,Mr.,Flarty,Edward,male,52.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Ford,H.,male,22.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Ford,Thomas,male,30.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
0,Mr.,Foster,A.,male,37.0,Engineering,Engineering Storekeeper,S,,,"Southampton, Hampshire, England"
0,Mr.,Fraser,James,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Fraser,James,male,29.0,Engineering,Junior Assistant Third Engineer,B,,,"Southampton, Hampshire, England"
1,Mr.,Fredricks,Walter,male,20.0,Engineering,Trimmer,S,15,,"Southampton, Hampshire, England"
1,Mr.,Fryer,Albert,male,26.0,Engineering,Trimmer,S,13,,"Southampton, Hampshire, England"
0,Mr.,Geer,Alfred,male,24.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Godley,George,male,38.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Godwin,Frederick,male,36.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Golder,Martin,male,32.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Gordon,J.,male,29.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Goree,Frank,male,28.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Gosling,Bertram,male,22.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Gosling,S.,male,26.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Gradidge,Ernest,male,32.0,Engineering,Fireman/Stoker,S,,276.0,"Southampton, Hampshire, England"
1,Mr.,Graham,Thomas,male,28.0,Engineering,Fireman/Stoker,B,,,"Belfast, Ireland"
0,Mr.,Green,George,male,41.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Gregory,David,male,43.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Gumery,George,male,24.0,Engineering,Mess Steward,S,,,"Birmingham, England"
1,Mr.,Hagan,John,male,30.0,Engineering,Fireman/Stoker,B,3,,"Southampton, Hampshire, England"
0,Mr.,Hall,Joseph,male,32.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Hallett,George,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Hands,Bernard,male,34.0,Engineering,Fireman/Stoker,S,,,"Killeshandra, Cavan, Ireland"
0,Mr.,Hannam,George,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Harris,Edward,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Harris,Frederick,male,34.0,Engineering,Fireman/Stoker,S,14,,"Southampton, Hampshire, England"
0,Mr.,Harrison,Norman,male,39.0,Engineering,Assistant Second Engineer,B,,,"Southampton, Hampshire, England"
0,Mr.,Hart,James,male,58.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Harvey,Herbert,male,34.0,Engineering,Junior Assistant Second Engineer,S,,,"Belfast, Ireland"
0,Mr.,Haslin,James,male,45.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Head,Arthur,male,24.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Hebb,A.,male,20.0,Engineering,Trimmer,S,B,,"Southampton, Hampshire, England"
1,Mr.,Hendrickson,Charles,male,29.0,Engineering,Leading Fireman,S,1,,"Northam, Southampton, Hampshire, England"
0,Mr.,Hesketh,John,male,33.0,Engineering,Junior Second Engineer,B,,,"Kirkdale, Liverpool, England"
0,Mr.,Hill,James,male,25.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Hinton,Steven,male,31.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Hosking,George,male,36.0,Engineering,Senior Third Engineer,S,,,"Southampton, England"
1,Mr.,Hunt,Albert,male,22.0,Engineering,Trimmer,S,C,,"Southampton, Hampshire, England"
0,Mr.,Hunt,T.,male,28.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Hurst,Charles,male,41.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Hurst,Walter,male,27.0,Engineering,Fireman/Stoker,S,B,,"Southampton, Hampshire, England"
0,Mr.,Ingram,Charles,male,20.0,Engineering,Trimmer,S,,204.0,"Southampton, Hampshire, England"
0,Mr.,Instance,T.,male,33.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Jackopson,John,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Jago,Joseph,male,59.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,James,Thomas,male,27.0,Engineering,Fireman/Stoker,S,,,"Cardiff, Glamorgan, Wales"
0,Mr.,Jarvis,William,male,37.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Joas,N.,male,38.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Judd,Charles,male,32.0,Engineering,Fireman/Stoker,S,B,,"Southampton, Hampshire, England"
0,Mr.,Jukes,James,male,35.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Jupe,Herbert,male,31.0,Engineering,Assistant Electrician,S,,73.0,"Southampton, Hampshire, England"
1,Mr.,Kaspar,Franz,male,40.0,Engineering,Fireman/Stoker,S,9,,"Southampton, Hampshire, England"
0,Mr.,Kearl,Charles,male,44.0,Engineering,Greaser,S,,,"Ventnor, Isle of Wight, Hampshire, England"
0,Mr.,Kearl,G.,male,24.0,Engineering,Trimmer,S,,,"Hampshire, England"
0,Mr.,Keegan,James,male,38.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
0,Mr.,Kelly,James,male,44.0,Engineering,Greaser,S,,,"Co. Meath, Ireland"
0,Mr.,Kelly,William,male,23.0,Engineering,Assistant Electrician,B,,,"Dublin, Ireland"
1,Mr.,Kemish,George,male,22.0,Engineering,Fireman/Stoker,S,9,,"Shirley, Southampton, Hampshire, England"
0,Mr.,Kemp,Thomas,male,43.0,Engineering,Assistant Fourth Engineer,S,,,"Southampton, Hampshire, England"
0,Mr.,Kenchenten,Frederick,male,37.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Kerr,Thomas,male,26.0,Engineering,Fireman/Stoker,S,,,"Glasgow, Scotland"
0,Mr.,Kinsella,Louis,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Kirkham,James,male,43.0,Engineering,Greaser,S,,,"Whittingham, Liverpool, Lancashire, England"
1,Mr.,Knowles,Thomas,male,39.0,Engineering,Fireman's Messman,S,C,,"Lymington, England"
0,Mr.,Lahy,Thomas,male,32.0,Engineering,Fireman/Stoker,S,,,"London, England"
0,Mr.,Lee,Henry,male,18.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Light,Charles,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Light,W.,male,47.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Lindsay,William,male,30.0,Engineering,Fireman/Stoker,S,B,,"Bristol, Avon, England"
0,Mr.,Long,Frank,male,28.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Long,William,male,36.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Loyd,W.,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Mackie,William,male,32.0,Engineering,Junior Fifth Engineer,B,,,"London, England"
1,Mr.,Major,William,male,32.0,Engineering,Fireman/Stoker,S,13,,"Southampton, Hampshire, England"
0,Mr.,Marett,George,male,27.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Marsh,Frederick,male,28.0,Engineering,Fireman/Stoker,S,,268.0,"Southampton, Hampshire, England"
0,Mr.,Maskell,L.A.,male,25.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Mason,Frank,male,32.0,Engineering,Fireman/Stoker,S,B,,"Southampton, Hampshire, England"
0,Mr.,Mason,James,male,39.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
0,Mr.,May Jr.,Arthur,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,May Sr.,Arthur,male,60.0,Engineering,Fireman's Messman,S,,,"Southampton, Hampshire, England"
0,Mr.,Mayo,William,male,27.0,Engineering,Leading Fireman,S,,117.0,"Southampton, Hampshire, England"
1,Mr.,Mayzes,Thomas,male,25.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
0,Mr.,McAndrew,Thomas,male,38.0,Engineering,Fireman/Stoker,S,,,"Liverpool, Merseyside, England"
0,Mr.,McAndrews,William,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,McCastlen,William,male,38.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,McCubbin,Lee,male,,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,McGann,James,male,29.0,Engineering,Trimmer,S,B,,"Liverpool, Lancashire, England"
0,Mr.,McGarvey,Edward,male,34.0,Engineering,Fireman/Stoker,S,,,"Liverpool, Lancashire, England"
0,Mr.,McGaw,Errol,male,30.0,Engineering,Fireman/Stoker,S,,,"Aldershot, Hampshire, England"
0,Mr.,McGregor,J.,male,30.0,Engineering,Fireman/Stoker,S,,,"Edinburgh, Midlothian, Scotland"
0,Mr.,McInerney,Thomas,male,38.0,Engineering,Greaser,S,,,"Bootle, Lancashire, England"
1,Mr.,McInytre,William,male,22.0,Engineering,Trimmer,S,A,,"Southampton, Hampshire, England"
0,Mr.,McQuillan,William,male,32.0,Engineering,Fireman/Stoker,B,,183.0,"Belfast, Ireland"
0,Mr.,McRae,William,male,32.0,Engineering,Fireman/Stoker,S,,,"Shirley, Hampshire, England"
0,Mr.,McReynolds,William,male,22.0,Engineering,Junior Sixth Engineer,B,,,"Belfast, Ireland"
0,Mr.,Middleton,Alfred,male,17.0,Engineering,Assistant Electrician,B,,,"Belfast, Ireland"
0,Mr.,Milford,George,male,28.0,Engineering,Fireman/Stoker,S,,,"Ryde, Isle of Wight, Hampshire, England"
0,Mr.,Millar,Robert,male,27.0,Engineering,Extra Fifth Engineer,S,,,"Southampton, Hampshire, England"
0,Mr.,Millar,Thomas,male,33.0,Engineering,Assistant Deck Engineer,B,,,"Belfast, Ireland"
0,Mr.,Mintram,William,male,46.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
